anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_iptu,valor_mt2
Karol Leal,,,,Jardim Flamboyant,2,Luziânia,1043456574,,2022-06-10,,Rua Araguaia,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apt-duplex-com-moveis-planejados-1043456574,R$ 127,,,
MIRACI BATISTA DA SILVA,50m²,,,Cidade Jardins,1,Valparaíso de Goiás,1043458652,,2022-06-10,,Quadra QC 02 Conjunto A Bloco 4,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-tem-50-metros-quadrados-com-2-quartos-1043458652,R$ 0,R$ 80.000,R$ 600,
Luiz Alberto,66m²,,,Mansões Olinda,1,Águas Lindas de Goiás,1043467820,,2022-06-10,,QA 6,1,,1,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/oportunidade-agio-1043467820,,R$ 20.000,,
Mara Rodrigues Corretora de Imoveis Eireli - ME,63m²,,,Setor Sul,1,Formosa,1043470104,,2022-06-10,,Avenida Cristalina,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/akso-prime-residence-moderno-e-completo-como-voce-precisa-1043470104,R$ 0,R$ 265.000,R$ 0,
CASA BELLA IMÓVEIS,67m²,,,Parque Esplanada V,1,Valparaíso de Goiás,1033719528,,2022-06-10,,Rua 5 (Quadras 04 e 05),1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-02-quartos-de-67-m-a-100-metros-da-br-040-no-valparaiso-1033719528,R$ 0,R$ 128.000,R$ 0,
mcjcarvalho,47m²,,,Parque Esplanada II,2,Valparaíso de Goiás,1043580021,,2022-06-10,,"Rua 8 (Quadras 33,34,37,38)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apto-2-quartos-com-suite-no-cond-belle-stella-1043580021,R$ 180,R$ 149.000,,
Mirella,,,,Parque Araguari,2,Cidade Ocidental,1043600404,,2022-06-10,,Quadra 9,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-1043600404,,R$ 25.000,,
Vitória Borges,,,,Mansões Olinda,1,Águas Lindas de Goiás,1043675111,,2022-06-10,,QA 11,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-em-aguas-lindas-1043675111,,R$ 28.000,,
RESALE,83m²,,,Vila Portuguesa,1,Luziânia,1044105781,,2022-06-12,,Rua 02,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-residencial-vila-saionara-2-dormitorio-s-1044105781,R$ 0,R$ 54.737,R$ 0,
RESALE,116m²,,,Centro,1,Cidade Ocidental,1044107312,,2022-06-12,,SQ 12 Quadra 11,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-residencial-parque-nova-friburgo-2-dormitorio-s-1-vaga-s-de-garagem-1044107312,R$ 0,R$ 63.066,R$ 0,
RESALE,83m²,,,Vila Portuguesa,1,Luziânia,1044117055,,2022-06-12,,Rua 02,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-residencial-vila-saionara-2-dormitorio-s-1044117055,R$ 0,R$ 44.541,R$ 0,
RESALE,55m²,,,Parque das Águas Bonitas I Etapa B,1,Águas Lindas de Goiás,1044117485,,2022-06-12,,Quadra 4,,,1,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-residencial-1-dormitorio-s-1044117485,R$ 0,R$ 70.989,R$ 0,
Lindomar,,,,Parque da Barragem Setor 01,1,Águas Lindas de Goiás,1044118901,,2022-06-12,,Quadra 48 Conjunto A,1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-apartamento-03-quartos-1044118901,R$ 0,R$ 39.000,R$ 0,
Marlon,0m²,,,Jardim Flamboyant,1,Luziânia,1044127236,,2022-06-12,,Rodovia BR-040,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-em-luziania-go-2-quartos-sala-e-cozinha-integrada-1-vaga-garagem-1044127236,,R$ 85.000,,
Marcelo teixeira de almeida,,,,Parque Marajó,1,Valparaíso de Goiás,1032901292,,2022-06-12,,"Rua 5 (Quadras 22,23,24,28,29,30)",2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vende-se-agio-apartamento-27-000-mil-valparaiso-1032901292,,R$ 27.000,R$ 350,
Camilla Cardoso,,,,,1,Águas Lindas De Goiás,1044142116,,2022-06-12,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-aguas-lindas-de-goias-1044142116,R$ 0,R$ 140.000,,
Joao Oliveira,,,,Parque da Barragem Setor 02,1,Águas Lindas de Goiás,1044165949,,2022-06-12,,Quadra 31 Conjunto B,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-terreo-de-apt-novo-2-quartos-garagem-individual-1044165949,,R$ 28.000,,
jo?o,0m²,,,Cidade Jardim,1,Águas Lindas de Goiás,1044169229,,2022-06-12,,Quadra 113,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-medio-padrao-promocao-em-aguas-lindas-1044169229,R$ 0,R$ 130.000,R$ 0,
Evandro C.,62m²,,,,1,Águas Lindas De Goiás,1044178671,,2022-06-12,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-um-agio-de-apartamento-em-aguas-lindas-1044178671,R$ 0,R$ 30.000,R$ 250,
Thamires Lourdes,,,,Mansões Águas Lindas,1,Águas Lindas de Goiás,1044185990,,2022-06-12,,Quadra 10,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-1044185990,R$ 50,R$ 30.000,R$ 230,
ADEAN OLIVEIRA,45m²,,,Parque Esplanada III,1,Valparaíso de Goiás,1041754005,,2022-06-12,,Quadra 16,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/residencial-lisboa-life-1041754005,,R$ 115.000,,
Kerenhapuke,,,,,2,Valparaíso De Goiás,1044212009,,2022-06-12,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-em-valparaiso-i-1044212009,R$ 200,R$ 164.990,,
Jordania Junia,52m²,,,Chácaras Santa Maria,1,Valparaíso de Goiás,1044214576,,2022-06-12,,Rua 8,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apartamento-com-piscina-18-mil-1044214576,R$ 0,R$ 18.000,,
Márcia Denise,90m²,,,Parque Esplanada III,2,Valparaíso de Goiás,1044214628,,2022-06-12,,Quadra 41-45,2,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-ville-blanche-3-1044214628,R$ 383,R$ 335.000,,
João ,90m²,,,Parque Esplanada III,2,Valparaíso de Goiás,1044214639,,2022-06-12,,Quadra 41-45,2,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-ville-blanche-3-1044214639,R$ 383,R$ 335.000,,
Júlia Oliveira,90m²,,,Parque Esplanada III,2,Valparaíso de Goiás,1044220804,,2022-06-12,,Quadra 41-45,2,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-ville-blanche-3-1044220804,R$ 383,R$ 335.000,,
Rômulo,54m²,,,Parque da Barragem Setor 12,1,Águas Lindas de Goiás,1044222188,,2022-06-12,,Quadra 79 Conjunto A,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agil-de-apartamento-em-aguas-lindas-1044222188,R$ 75,R$ 20.000,,
KarolineTorres,48m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,1012638841,,2022-06-12,,Conjunto Residencial 5 Condomínio 2 Bloco 1E,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/oportunidade-lindo-apartamento-1012638841,R$ 250,R$ 129.900,,
J....l....b,500m²,,,Jardim da Barragem V,4,Águas Lindas de Goiás,1044244259,,2022-06-12,,Quadra 14,4,,4,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/marido-de-aluguel-1044244259,R$ 2,R$ 0,R$ 2,
Fabiana Bia,42m²,,,,1,Valparaíso De Goiás,1044247138,,2022-06-12,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-no-valparaiso-go-1044247138,R$ 150,R$ 45.000,R$ 250,
Ian,,,,Ypiranga,1,Valparaíso de Goiás,1044249906,,2022-06-12,,Quadra 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apartamento-terreo-no-bairro-ypiranga-em-valparaiso-1044249906,,R$ 19.900,,
Nicolas,48m²,,,Chácaras Anhangüera,1,Valparaíso de Goiás,1044309124,,2022-06-13,,"Rua Santa Catarina (Quadras 23,24,26,27)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-100-financiado-1044309124,R$ 0,R$ 380,R$ 0,
Garcia,80m²,,,,1,Valparaíso De Goiás,1044357424,,2022-06-13,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apartamento-terreo-com-quintal-privativo-condominio-com-piscinas-1044357424,R$ 130,R$ 20.900,,
Janaina Razera,85m²,,,Valparaiso I - Etapa A,1,Valparaíso de Goiás,1044368120,,2022-06-13,,Quadra 13,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-apartamento-no-valparaiso-2-16-mil-reais-1044368120,R$ 50,R$ 16.000,R$ 125,
acessórios e variedades,50m²,,,Ocidental Parque,1,Cidade Ocidental,1044369953,,2022-06-13,,Quadra 36,1,,1,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-barato-1044369953,R$ 0,R$ 15.000,R$ 0,
Dream House Imóveis,60m²,,,Jardim Ipanema,1,Valparaíso de Goiás,1018943598,,2022-06-13,,"Rua 10 (Q 25,27,29,30,35,36,40,41,45A,46)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-apt-2q-no-valparaiso-baixou-o-preco-vista-livre-1018943598,,R$ 38.000,,
Jose,,,,Valparaiso I - Etapa C,1,Valparaíso de Goiás,1044397563,,2022-06-13,,Quadra 5,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-1044397563,,R$ 115.000,,
Bruno,45m²,,,Parque do Ipê,1,Valparaíso de Goiás,1044404977,,2022-06-13,,Rua Varandas,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-valparaiso-1044404977,R$ 120,R$ 38.000,R$ 100,
Wini,54m²,,,Loteamento Lunabel 3A,2,Novo Gama,1044430449,,2022-06-13,,Quadra 16,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamentos-imobiliaria-sua-house-1044430449,R$ 499,R$ 499,R$ 0,
Rafaelnara O.,54m²,,,,1,Valparaíso De Goiás,1044434299,,2022-06-13,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-apartamento-1044434299,R$ 180,R$ 38.000,R$ 200,
Haialla,74m²,,,Mansões Pôr do Sol,1,Águas Lindas de Goiás,1044434966,,2022-06-13,,Quadra QB 16,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-top-localizacao-excelente-1044434966,R$ 70,R$ 22.999,,
Sampaio Imoveis DF,65m²,,,Mansões Olinda,1,Águas Lindas de Goiás,1044448134,,2022-06-13,,QA 32,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-agio-aguas-lindas-mansoes-olindas-02-quartos-ac-carro-1044448134,,R$ 39.000,,
Belchior,,,,Jardim Zuleika,5 ou mais,Luziânia,1044661403,,2022-06-13,,Rua 19,2,,5 ou mais,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-1044661403,,,,
INVISTA DF,54m²,,,Núcleo Habitacional Novo Gama,1,Novo Gama,1034759463,,2022-06-13,,Conjunto 01 HI Bloco 07,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/otimo-apartamento-no-novo-gama-1034759463,R$ 0,R$ 90.000,R$ 0,
Gleison,47m²,,,Núcleo Habitacional Novo Gama,1,Novo Gama,1044663271,,2022-06-13,,Condomínio Parque Lousã (Conjunto 06 HC Seção SAM 400),1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-ap-no-total-ville-novo-gama-aceito-carro-1044663271,R$ 190,R$ 40.000,R$ 220,
Adilsom Duraes,46m²,,,Loteamento Raquel Pimentel,1,Luziânia,1019376070,,2022-06-13,,Rua RP5,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-imovel-quitado-luziania-e-cidade-ocidental-escriturado-e-registrado-1019376070,R$ 80,R$ 70.000,R$ 140,
correia,53m²,,,Mansões Recreio Mossoró,1,Cidade Ocidental,1044674640,,2022-06-14,,Quadra 5,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/alugo-apartamento-r-430-00-cidade-ocidental-go-1044674640,R$ 130,R$ 430,,
Géssica Célia,70m²,,,Centro,2,Santo Antônio do Descoberto,1044689282,,2022-06-14,,Quadra 32,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/troco-em-agio-de-apartamento-em-samambaia-1044689282,R$ 150,R$ 60.000,,
Luciana Oliveira,110m²,,,Vila Isabel,1,Valparaíso de Goiás,1044697311,,2022-06-14,,Rua da BR 040,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-casa-ceu-azul-fora-de-condominio-1044697311,R$ 0,R$ 30.000,,
Leonardo,,,,Valparaiso II,2,Valparaíso de Goiás,1044699295,,2022-06-14,,Quadra 22,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-1044699295,R$ 100,R$ 25.000,,
Thaise,93m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,1044704447,,2022-06-14,,Condomínio Residencial 10 Bloco E,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apt-terreo-no-reserva-parque-1044704447,R$ 280,R$ 72.000,R$ 450,
risabelle,52m²,,,Colina Verde,1,Cidade Ocidental,1044704851,,2022-06-14,,Quadra 9,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vende-se-agio-de-apartamento-1044704851,R$ 0,R$ 0,R$ 200,
Daniel,47m²,,,Setor de Chácaras Anhangüera C,1,Valparaíso de Goiás,1031555620,,2022-06-14,,Quadra 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-ou-alugo-apartamento-bella-vitta-6-valparaiso-de-goias-1031555620,R$ 130,R$ 27.000,,
marcelo,64m²,,,Parque da Barragem Setor 02,2,Águas Lindas de Goiás,1042580267,,2022-06-14,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apt-agio-1042580267,R$ 0,,R$ 35,
Elias Barros,60m²,,,Setor de Chácaras Anhangüera B,1,Valparaíso de Goiás,1044781822,,2022-06-14,,Quadra 38,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-ap-valparaiso-1044781822,R$ 50,R$ 40.000,R$ 168,
Mara Rodrigues Corretora de Imoveis Eireli - ME,350m²,,,Jardim Califórnia,2,Formosa,1044791282,,2022-06-14,,Rua Califórnia,2,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/sobrado-a-venda-no-condominio-asas-douradas-jardim-california-1044791282,R$ 0,R$ 2.000.000,R$ 0,
LUCIANA BARTZ,110m²,,,Parque Esplanada II,2,Valparaíso de Goiás,1044797341,,2022-06-14,,"Rua 8 (Quadras 31,32,35,36)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-terreo-com-quintal-1044797341,R$ 205,R$ 150.000,R$ 600,
Júlia Juvintino,0m²,,,Mansões Village,1,Águas Lindas de Goiás,1044812164,,2022-06-14,,Quadra 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apartamento-1044812164,R$ 0,R$ 16.000,R$ 0,
Reginaldo Rodrigues,50m²,,,Parque Esplanada II,1,Valparaíso de Goiás,1044817939,,2022-06-14,,Quadra 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apartamento-2-quartos-valparaiso-1044817939,R$ 70,R$ 27.000,,
DEBORA,,,,Loteamento Lunabel 3A,1,Novo Gama,1044819177,,2022-06-14,,Quadra 8,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-ou-troco-em-casa-1044819177,,R$ 35.000,,
JULIO,,,,Parque Esplanada II,1,Valparaíso de Goiás,1044843041,,2022-06-14,,"Rua 8 (Quadras 33,34,37,38)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-vendo-abaixo-do-preco-de-mercado-otimo-preco-oportunidade-unica-1044843041,,R$ 85.000,,
NEGÓCIOS-DF,41m²,,,Valparaiso I - Etapa B,1,Valparaíso de Goiás,860571109,,2022-06-14,,Quadra 31,0,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/t-r-o-c-o--tudo-aqui-por-agio-de-casa-apt-terreo-ou-f-i-a-t-uno-860571109,R$ 240,R$ 40.000,R$ 570,
NEGÓCIOS-DF,12m²,,,Valparaiso I - Etapa B,0,Valparaíso de Goiás,837271562,,2022-06-14,,Quadra 40,1,,0,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/t-r-o-c-o-tudo-aqui-por-a-g-i-o-de-c-a-s-a-apt-terreo-ou-f-i-a-t-uno-837271562,,R$ 16.000,,
Danilo ,53m²,,,Parque Esplanada II,2,Valparaíso de Goiás,1044856368,,2022-06-14,,"Rua 22 (Quadras 33,34,37,38)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-no-condominio-belle-stanza-apartamento-mrv-1044856368,R$ 0,R$ 140.000,,
3brokers imobiliaria,83m²,,,Ypiranga,1,Valparaíso de Goiás,1044870628,,2022-06-14,,Rua Flamboyant,0,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-excelente-agio-de-apartamento-1044870628,R$ 100,R$ 60.000,,
Marileide ,,,,Parque Nápolis A,1,Cidade Ocidental,1044872638,,2022-06-14,,Quadra 16,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-na-cidade-ocidental-1044872638,,R$ 12.000,,
JANDERCi Martins,,,,Parque da Barragem Setor 03,1,Águas Lindas de Goiás,1044872661,,2022-06-14,,Quadra 26 Conjunto B,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-terreo-1044872661,,R$ 25.000,,
Bruna,54m²,,,Centro,1,Cidade Ocidental,1044891288,,2022-06-14,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-10mil-1044891288,,R$ 10.000,,
Pedro Teodoro,45m²,,,Ypiranga,1,Valparaíso de Goiás,1044904997,,2022-06-14,,Rua Ypiranga,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apartamento-valparaiso-1044904997,R$ 20,R$ 50.000,,
karinny.sl01,54m²,,,Jardim ABC de Goiás,1,Cidade Ocidental,1044919750,,2022-06-14,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/grande-lancamento-em-jardim-abc-1044919750,R$ 1,R$ 125.000,R$ 1,
Zivoneide lopes Teixeira Lopes Teixeira,,,,Rio das Pedras,1,Valparaíso de Goiás,1044920367,,2022-06-14,,Quadra 12,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-apt-38000-1044920367,R$ 200,R$ 38.000,R$ 150,
Jack M.,64m²,,,Parque da Barragem Setor 02,1,Águas Lindas de Goiás,1044920925,,2022-06-14,,Quadra 33 Conjunto A,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-chamar-no-zap-1044920925,R$ 75,R$ 28.000,R$ 200,
Rayane Borges,,,,,2,Águas Lindas De Goiás,1044930353,,2022-06-14,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agil-de-apartamento-1044930353,R$ 100,,,
Ramos Ramos,,,,Mansões Recreio Mossoró,1,Cidade Ocidental,1044942247,,2022-06-14,,Quadra 7,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/lindo-ap-terreo-fundo-1044942247,R$ 50,R$ 17.000.000,,
NEGÓCIOS-DF,41m²,,,Valparaiso I - Etapa B,1,Valparaíso de Goiás,746305996,,2022-06-15,,Setor Comercial Bloco G,0,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/t-r-o-c-o--tudo-aqui-por-agio-de-casa-apt-terreo-ou-f-i-a-t-uno-746305996,,R$ 40.000,,
NEGÓCIOS-DF,117m²,,,Valparaiso I - Etapa A,2,Valparaíso De Goiás,670772258,,2022-06-15,,,1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/troco-tudo-aqui-por-agio-de-casa-apt-terreo-ou-fiat-uno-670772258,R$ 315,R$ 16.000,R$ 880,
NEGÓCIOS-DF,0m²,,,Valparaiso I - Etapa A,1,Valparaíso De Goiás,695676116,,2022-06-15,,,0,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/troco-tudo-aqui-por-agio-de-casa-apt-terreo-no-valpariso-ou-fiat-uno-695676116,,R$ 16.000,,
NEGÓCIOS-DF,41m²,,,Valparaiso I - Etapa B,2,Valparaíso de Goiás,837020825,,2022-06-15,,Quadra 42,0,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/t-r-o-c-o--tudo-aqui-por-agio-de-casa-apt-terreo-ou-f-i-a-t-uno--837020825,,R$ 40.000,,
NEGÓCIOS-DF,69m²,,,Parque Esplanada III,2,Valparaíso de Goiás,671584113,,2022-06-15,,Quadra 52,1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/t-r-o-c-o-tudo-aqui-por-agio-de-casa-ou-utilitario-pequeno-671584113,,R$ 16.000,,
Ed,54m²,,,,1,Cidade Ocidental,1045247952,,2022-06-15,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-muito-bom-1045247952,R$ 0,R$ 16,R$ 145,
Ianne de Angel,45m²,,,Ypiranga,1,Valparaíso de Goiás,1040680833,,2022-06-15,,Quadra 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apartamento-valparaiso-1040680833,R$ 100,R$ 40.000,R$ 215,
rodrigosoaresti,45m²,,,Parque Esplanada III,1,Valparaíso de Goiás,1034293068,,2022-06-15,,Quadra 18,0,,1,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apartamento-1q-atras-do-shopping-sul-valparaiso-1034293068,R$ 115,R$ 24.990,R$ 150,
Juno Lopes,55m²,,,Ypiranga,1,Valparaíso de Goiás,1045312832,,2022-06-15,,Rua Araguaia,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agil-2-quartos-lazer-completo-varanda-1045312832,R$ 150,R$ 48.000,R$ 250,
Tecnocopy.MA,61m²,,,Parque Esplanada II,1,Valparaíso de Goiás,1045335698,,2022-06-15,,"Rua 20 (Quadras 31,35,36,39,40,42,43)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-val-paraiso-de-goias-1045335698,,R$ 99.000,,
Gardenia B.,,,,Parque da Barragem Setor 02,1,Águas Lindas de Goiás,1045347531,,2022-06-15,,Quadra 38 Conjunto B,1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apartamento-1045347531,R$ 0,R$ 20.000,R$ 120,
eliane dias lopes,,,,Cidade Jardins,1,Valparaíso de Goiás,1045351851,,2022-06-15,,Quadra QC 01 Conjunto C Bloco 2,1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-cidade-jardins-3-quartos-1045351851,R$ 70,R$ 28.000,R$ 215,
Henrique,0m²,,,Valparaiso I - Etapa E,1,Valparaíso de Goiás,1016494829,,2022-06-15,,Setor Comercial Bloco B,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-verde-e-amarela-financiamento-caixa-ate-100-financiado-pronto-para-morar-1016494829,R$ 0,R$ 1.000,,
Paulo Henrique,44m²,,,Cidade Jardins,1,Valparaíso de Goiás,1045368999,,2022-06-15,,Quadra QC 02 Conjunto B Bloco 14,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-otima-localizacao-100-financiado-1045368999,,R$ 165.000,,
neldan Porto,70m²,,,Parque Esplanada II,2,Valparaíso de Goiás,1045380437,,2022-06-15,,"Rua 8 (Quadras 31,32,35,36)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apto-2quartos-belle-luna-1045380437,R$ 230,R$ 47.000,R$ 120,
ERAF IMOVEIS,0m²,,,Centro,2,Formosa,1045381065,,2022-06-15,,Avenida Ângelo Chaves - até 149/150,1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-a-venda-no-centro-apartamentos-de-111-m-1045381065,,R$ 0,,
naty,,,,Jardim Zuleika,1,Luziânia,1045409347,,2022-06-15,,Rua Bom Pastor,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-1045409347,,R$ 16.000,,
Igor Fernandes,,,,Valparaiso I - Etapa A,1,Valparaíso de Goiás,1045410819,,2022-06-15,,Quadra 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-financiado-100-com-area-de-lazer-1045410819,,R$ 165.000,,
Branca,,,,Chácaras Benvinda,1,Valparaíso de Goiás,1045429632,,2022-06-15,,Quadra 2,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vende-se-agio-de-apto-2-quartos-no-valparaiso-de-go-sucupira-proximo-a-havan-1045429632,,R$ 20.000,,
UNHASPODEROSAS,260m²,,,Centro,1,Cidade Ocidental,1045432132,,2022-06-15,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-1045432132,R$ 60,R$ 32.000,R$ 90,
Kamila Souza,70m²,,,Jardim Querência,1,Águas Lindas de Goiás,1045118555,,2022-06-15,,Quadra 21,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agil-apartamento-jardim-querencia-1045118555,,R$ 35.000,,
ALEX SANTOS,62m²,,,Valparaiso I - Etapa A,1,Valparaíso de Goiás,1045469267,,2022-06-15,,Quadra 9,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/excelente-localizacao-apto-villa-do-sol-iii-1045469267,R$ 0,R$ 135.000,R$ 140,
David Araujo,80m²,,,Ypiranga,1,Valparaíso de Goiás,1043233173,,2022-06-15,,Rua Saia Velha,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-37-mil-valparaiso-1043233173,R$ 65,R$ 37.000,R$ 300,
Ana M. P. Silva,62m²,,,Mansões Camargo,1,Águas Lindas de Goiás,1040811394,,2022-06-15,,Quadra 2,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-2-quartos-62m-programa-minha-casa-verde-e-amarela-aguas-lindas-de-goias-g-1040811394,R$ 0,R$ 140.000,R$ 0,
freitas.rcc,59m²,,,Centro,2,Luziânia,1045483166,,2022-06-15,,Rua Doutor João Teixeira,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-luziania-centro-1045483166,,R$ 155.000,,
